month,avg_temp,min_temp,max_temp,humidity,rainfall,raindays,snowdays
01-2011,5.1,0.7,12.4,82.8,2.4,7,2
02-2011,7.3,3.4,11.9,83.8,1.6,3,0
03-2011,7.6,2.1,13.1,74.7,0.4,1,0
04-2011,13.6,8.4,18.9,62.4,0.1,0,0
05-2011,13.9,10.2,17.8,62.5,0.7,2,0
06-2011,15.5,11.4,24.8,70.7,2.8,7,0
07-2011,16.9,14.9,19.7,66.5,1.6,4,0
08-2011,16.9,13.6,22.6,70.7,2.1,6,0
09-2011,16.2,12.1,19.8,75.2,1.1,1,0
10-2011,13.6,7.2,19.9,75.5,0.5,0,0
11-2011,10.3,5.2,15.0,86.7,0.9,1,0
12-2011,7.0,2.3,11.9,80.4,2.0,4,2
01-2012,6.6,0.8,11.0,79.5,1.1,3,1
02-2012,4.7,-2.7,12.8,76.5,0.6,1,7
03-2012,9.2,4.7,13.3,71.4,0.5,1,1
04-2012,8.6,6.1,13.6,72.4,2.8,5,0
05-2012,13.6,7.2,21.2,70.7,1.3,2,0
06-2012,15.0,10.6,21.4,72.7,3.7,10,0
07-2012,16.9,13.9,23.6,72.1,2.3,6,0
08-2012,18.3,13.3,24.2,70.3,1.1,1,0
09-2012,14.7,10.7,19.2,69.2,1.2,2,0
10-2012,10.9,4.9,14.3,83.3,2.7,8,0
11-2012,7.7,1.4,12.1,85.1,2.7,8,0
12-2012,5.9,-2.1,11.6,85.6,3.0,6,3
01-2013,4.6,-1.4,11.8,84.9,1.4,3,9
02-2013,3.8,0.9,8.9,77.3,1.3,3,6
03-2013,3.8,-0.2,10.1,75.5,1.7,6,6
04-2013,8.6,2.2,15.3,67.7,1.2,2,2
05-2013,11.8,7.0,16.1,67.8,1.3,2,0
06-2013,15.4,12.6,20.6,67.8,0.3,0,0
07-2013,20.6,14.6,24.9,61.8,0.8,3,0
08-2013,18.9,15.6,25.6,66.4,1.1,2,0
09-2013,15.1,11.6,21.8,76.7,1.7,1,0
10-2013,13.4,9.3,17.9,84.5,1.6,4,0
11-2013,7.5,3.1,12.7,85.1,1.7,4,0
12-2013,7.1,2.3,11.3,86.5,3.0,7,0
01-2014,7.0,3.7,11.3,85.3,4.8,14,0
02-2014,7.5,5.2,10.6,78.1,3.7,7,0
03-2014,8.9,4.7,14.0,72.4,1.0,3,0
04-2014,11.6,8.9,14.2,72.2,1.9,3,0
05-2014,13.7,8.9,19.7,70.1,2.8,9,0
06-2014,17.2,12.1,20.8,64.0,1.4,3,0
07-2014,19.9,16.0,24.1,64.9,1.6,4,0
08-2014,16.6,13.2,22.2,70.3,2.9,5,0
09-2014,16.6,13.1,19.5,75.6,0.4,1,0
10-2014,13.8,9.9,17.8,81.9,2.5,5,0
11-2014,9.7,3.9,15.2,87.5,4.3,10,0
12-2014,6.1,0.7,13.1,80.4,1.2,3,0
