month,avg_temp,min_temp,max_temp,humidity,rainfall,raindays,snowdays
01-2011,-9.0,-24.1,3.9,73.2,1.1,1,23
02-2011,-7.2,-14.7,4.6,65.4,3.1,7,22
03-2011,-1.7,-14.2,7.1,63.6,4.2,6,14
04-2011,6.5,0.1,13.8,60.5,4.5,8,6
05-2011,14.0,6.3,22.4,69.1,4.7,9,0
06-2011,19.5,13.9,25.6,62.9,3.1,7,0
07-2011,23.3,19.6,29.2,61.4,1.9,5,0
08-2011,21.0,16.4,25.1,69.6,7.3,10,0
09-2011,17.9,9.8,24.7,70.7,3.6,8,0
10-2011,10.3,1.4,19.1,67.4,3.1,7,0
11-2011,5.7,-3.3,13.4,66.5,1.8,4,2
12-2011,-2.3,-15.3,7.7,69.9,3.7,7,17
01-2012,-7.3,-19.5,3.1,65.5,2.8,6,23
02-2012,-4.2,-14.8,2.4,68.5,1.4,2,18
03-2012,3.2,-12.3,19.1,62.5,1.9,6,9
04-2012,7.0,2.0,19.9,54.2,2.2,4,4
05-2012,16.3,9.9,24.3,59.3,3.0,7,0
06-2012,20.1,13.3,28.6,58.8,2.4,4,0
07-2012,22.8,18.4,27.9,60.4,3.0,4,0
08-2012,22.3,17.7,27.0,66.4,1.7,4,0
09-2012,16.6,10.8,23.9,69.0,2.7,7,0
10-2012,11.0,3.6,16.8,74.4,3.8,7,0
11-2012,1.1,-10.1,8.4,68.9,0.4,0,6
12-2012,-3.3,-11.4,6.6,79.4,5.3,11,22
01-2013,-7.7,-23.6,3.9,68.2,2.1,5,18
02-2013,-6.7,-16.9,1.6,69.9,2.2,5,23
03-2013,-0.4,-8.0,5.8,68.9,1.9,4,17
04-2013,6.2,-3.9,15.8,56.4,2.2,5,6
05-2013,15.6,6.3,24.9,59.6,3.4,6,0
06-2013,18.0,12.9,25.2,72.0,4.7,9,0
07-2013,22.3,15.8,27.5,68.1,3.2,6,0
08-2013,20.4,16.6,24.5,70.4,2.1,6,0
09-2013,15.5,9.4,22.0,72.2,3.2,6,0
10-2013,10.8,-0.6,19.2,70.9,2.0,5,1
11-2013,1.4,-9.8,14.3,67.8,3.9,8,13
12-2013,-8.1,-19.9,3.6,77.1,3.1,5,25
01-2014,-10.0,-24.9,3.4,70.0,1.7,3,20
02-2014,-8.4,-16.1,2.6,70.1,2.2,4,20
03-2014,-6.0,-14.9,2.2,63.2,2.4,5,20
04-2014,5.8,-3.7,12.4,61.3,3.6,7,2
05-2014,14.3,9.0,22.3,63.8,4.0,6,0
06-2014,20.1,14.9,25.8,63.1,5.6,6,1
07-2014,21.3,16.4,27.2,66.4,2.3,7,0
08-2014,20.5,14.3,24.0,68.7,2.8,4,0
09-2014,16.1,7.2,24.5,72.3,1.7,3,0
10-2014,11.0,4.5,20.6,73.0,2.8,4,0
11-2014,2.0,-5.2,10.2,66.1,1.8,3,11
12-2014,-2.8,-11.6,5.5,75.2,3.0,5,20
