month,avg_temp,min_temp,max_temp,humidity,rainfall,raindays,snowdays
01-2011,8.6,4.8,12.4,67.0,2.9,5,0
02-2011,9.3,7.1,11.1,69.1,2.9,5,0
03-2011,11.7,7.8,14.3,67.0,3.9,5,0
04-2011,15.6,13.3,18.5,67.4,0.4,1,0
05-2011,19.7,16.6,24.8,60.6,0.0,0,0
06-2011,21.6,17.7,25.1,70.5,2.7,4,0
07-2011,23.2,19.3,26.6,67.2,1.7,4,0
08-2011,24.3,21.9,28.7,66.5,0.5,1,0
09-2011,22.9,20.3,24.9,65.0,0.3,0,0
10-2011,17.8,13.8,22.5,62.3,1.5,3,0
11-2011,14.4,11.1,18.8,65.9,5.4,4,0
12-2011,10.8,5.5,14.7,54.2,1.1,1,1
01-2012,9.3,4.4,12.3,60.0,1.3,2,1
02-2012,7.2,2.4,11.7,54.7,1.0,1,0
03-2012,13.1,8.2,16.9,63.0,0.6,1,0
04-2012,14.4,11.8,19.4,65.9,3.3,4,0
05-2012,17.2,13.5,20.8,72.5,2.4,2,0
06-2012,22.5,19.2,26.1,67.0,0.2,1,0
07-2012,24.3,23.1,25.8,63.6,0.1,0,0
08-2012,25.8,22.8,29.1,61.0,0.2,0,0
09-2012,21.6,18.9,24.0,59.9,4.6,4,0
10-2012,17.7,8.8,20.8,68.0,4.0,4,0
11-2012,13.6,8.8,16.2,65.7,5.8,7,0
12-2012,9.0,5.3,11.8,55.3,2.5,4,0
01-2013,8.3,4.7,10.8,64.0,3.5,6,1
02-2013,7.6,3.7,12.2,56.6,3.2,5,1
03-2013,10.6,6.7,12.7,72.7,7.8,14,0
04-2013,14.2,10.6,19.3,74.8,2.7,3,0
05-2013,16.3,13.2,18.6,70.8,3.8,4,0
06-2013,20.1,16.1,25.6,71.8,0.9,2,0
07-2013,25.1,21.2,27.1,64.0,0.8,1,0
08-2013,25.0,21.6,27.8,62.9,0.1,0,0
09-2013,21.6,18.8,24.9,65.2,0.5,1,0
10-2013,18.3,14.3,21.1,73.6,1.2,2,0
11-2013,12.8,6.4,18.4,57.5,2.2,3,0
12-2013,10.0,7.6,14.7,62.1,5.3,6,0
01-2014,9.7,6.4,12.4,71.6,9.2,11,0
02-2014,9.9,6.8,13.4,69.6,4.6,7,0
03-2014,12.5,7.4,15.4,62.3,2.7,3,0
04-2014,15.3,13.2,17.3,69.3,0.3,0,0
05-2014,17.5,14.4,20.2,64.1,0.6,1,0
06-2014,22.4,18.6,26.7,65.3,0.4,0,0
07-2014,23.1,20.0,25.3,67.2,0.9,2,0
08-2014,23.6,21.6,25.7,67.7,0.7,1,0
09-2014,22.1,19.7,23.5,65.4,0.1,0,0
10-2014,19.2,15.2,21.9,66.4,1.7,3,0
11-2014,14.7,10.9,19.4,73.3,17.6,9,0
12-2014,10.3,5.7,14.4,61.5,2.7,4,0
