month,avg_temp,min_temp,max_temp,humidity,rainfall,raindays,snowdays
01-2011,14.9,11.0,19.6,64.4,3.2,4,0
02-2011,17.7,12.8,21.5,71.1,4.2,4,0
03-2011,17.0,13.8,22.2,61.7,1.4,2,0
04-2011,20.5,16.9,23.5,68.5,2.8,5,0
05-2011,23.9,20.1,27.0,85.2,9.9,15,0
06-2011,28.0,23.6,29.7,84.7,7.4,6,0
07-2011,28.9,26.9,29.6,80.2,3.7,5,0
08-2011,28.4,26.1,29.7,80.3,15.2,5,0
09-2011,27.9,25.4,29.4,75.3,2.4,3,0
10-2011,25.2,23.1,26.7,77.9,6.8,7,0
11-2011,23.7,19.2,26.7,76.1,9.8,11,0
12-2011,18.5,15.1,23.7,68.7,2.9,6,0
01-2012,17.0,13.6,20.4,70.5,3.8,6,0
02-2012,17.5,12.9,21.6,73.6,3.8,5,0
03-2012,19.6,14.7,23.2,70.7,2.5,6,0
04-2012,21.8,17.2,25.8,75.4,8.6,8,0
05-2012,24.4,22.6,27.2,77.2,7.3,7,0
06-2012,27.0,24.6,28.7,85.9,12.6,10,0
07-2012,29.1,26.7,29.8,78.8,2.8,4,0
08-2012,28.5,26.6,29.6,81.1,22.0,15,0
09-2012,27.2,24.5,28.7,75.3,9.1,8,0
10-2012,24.6,20.0,27.1,69.4,2.9,1,0
11-2012,21.0,18.1,24.3,67.0,7.2,8,0
12-2012,18.5,13.9,22.9,64.6,3.8,5,0
01-2013,17.0,13.9,21.1,65.3,3.2,5,0
02-2013,18.6,13.6,22.6,72.2,2.7,5,0
03-2013,20.4,16.2,24.6,71.5,3.7,4,0
04-2013,20.6,15.5,23.9,73.3,7.5,10,0
05-2013,23.8,19.5,27.9,81.1,16.3,12,0
06-2013,28.0,24.8,29.4,80.0,3.6,3,0
07-2013,29.3,28.3,30.1,73.2,0.1,0,0
08-2013,29.6,28.4,30.6,75.3,6.9,7,0
09-2013,28.3,26.8,29.8,74.0,5.9,6,0
10-2013,25.3,21.8,27.8,71.6,7.5,6,0
11-2013,21.1,15.8,25.7,65.9,4.8,6,0
12-2013,17.3,13.3,21.7,63.5,5.5,5,0
01-2014,16.9,13.3,20.7,60.4,2.7,4,0
02-2014,17.8,14.6,21.1,71.6,11.0,11,0
03-2014,18.4,14.2,23.1,69.2,7.6,8,0
04-2014,20.8,16.5,24.0,72.8,4.4,7,0
05-2014,23.6,19.5,26.6,80.9,14.2,12,0
06-2014,26.9,22.8,29.8,84.9,14.0,13,0
07-2014,29.4,26.4,30.7,79.9,17.2,6,0
08-2014,28.7,26.7,29.8,81.4,7.8,14,0
09-2014,28.8,26.3,30.1,74.8,3.9,6,0
10-2014,25.4,23.4,28.3,69.9,11.2,2,0
11-2014,22.5,19.8,25.4,67.7,2.4,2,0
12-2014,17.0,14.1,21.4,59.5,5.0,8,0
